RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,PH,PH2,PH3,DO_,DO_2,DO_3,BOD,BOD2,BOD3,COD,COD2,COD3,SS,SS2,SS3,COLON,COLON2,COLON3,HEX,HEX2,HEX3,ALLZN,ALLZN2,ALLZN3,BOTTOMDO,BOTTOMDO2,BOTTOMDO3,LAS,LAS2,LAS3,NONYLPHENOL,NONYLPHENOL2,NONYLPHENOL3,COLI,COLI2,COLI3
2730190001,2730190,27,604,02,2013,2013,10,011246,13,13.0000,,,,4.5,4.5000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730220001,2730220,27,606,01,2013,2013,5,071455,11,1.0000,8.3,8.3000,0,9,9.0000,0,,,,3.5,3.5000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730220001,2730220,27,606,01,2013,2013,9,101210,11,1.0000,8.2,8.2000,0,9,9.0000,0,,,,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,5,071108,13,12.3000,8.1,8.1000,0,7.1,7.1000,0,,,,2,2.0000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,5,071108,13,13.3000,,,,7,7.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,4,161010,13,12.5000,8.1,8.1000,0,6.3,6.3000,0,,,,2.2,2.2000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,4,161010,11,1.0000,8.3,8.3000,0,10,10.0000,0,,,,4.1,4.1000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,5,071108,11,1.0000,8.3,8.3000,0,10,10.0000,0,,,,4.3,4.3000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,6,041028,11,1.0000,8.6,8.6000,1,14,14.0000,0,,,,9.1,9.1000,1,10,10.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,6,041028,13,12.4000,8.0,8.0000,0,3.9,3.9000,0,,,,2.9,2.9000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,6,041028,13,13.4000,,,,3.3,3.3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,7,021110,11,1.0000,8.5,8.5000,1,12,12.0000,0,,,,5.1,5.1000,0,6,6.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,7,021110,13,14.4000,7.9,7.9000,0,3,3.0000,0,,,,1.8,1.8000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,7,021110,13,15.4000,,,,2.6,2.6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,8,011105,11,1.0000,8.3,8.3000,0,7.7,7.7000,0,,,,4.9,4.9000,0,5,5.0000,0,,,,<0.5,0.0000,0,0.012,0.0120,0,,,,,,,<0.00006,0.0000,0,,,
2730010001,2730010,27,601,01,2013,2013,8,011105,13,12.0000,7.9,7.9000,0,2.1,2.1000,0,,,,2,2.0000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,8,011105,13,13.0000,,,,1.8,1.8000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,9,101021,11,1.0000,8.1,8.1000,0,6.8,6.8000,0,,,,3.6,3.6000,0,3,3.0000,0,,,,,,,,,,,,,<0.0006,0.0000,0,,,,,,
2730010001,2730010,27,601,01,2013,2013,9,101021,13,12.6000,8.0,8.0000,0,4.4,4.4000,0,,,,1.9,1.9000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,9,101021,13,13.6000,,,,4.2,4.2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,10,011218,11,1.0000,8.3,8.3000,0,8.9,8.9000,0,,,,3.8,3.8000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,10,011218,13,12.7000,8.0,8.0000,0,2.8,2.8000,0,,,,1.7,1.7000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,10,011218,13,13.7000,,,,2.9,2.9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,11,061039,11,1.0000,8.0,8.0000,0,5.8,5.8000,0,,,,2.4,2.4000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,11,061039,13,13.5000,8.0,8.0000,0,4.8,4.8000,0,,,,2.7,2.7000,0,16,16.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,12,090952,11,1.0000,8.1,8.1000,0,8.2,8.2000,0,,,,2.8,2.8000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2013,12,090952,13,12.8000,8.1,8.1000,0,6.4,6.4000,0,,,,1.9,1.9000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,1,141042,11,1.0000,8.1,8.1000,0,9.9,9.9000,0,,,,2.9,2.9000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,1,141042,13,12.7000,8.1,8.1000,0,8.2,8.2000,0,,,,1.9,1.9000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,2,101038,11,1.0000,8.1,8.1000,0,9.3,9.3000,0,,,,2.4,2.4000,0,2,2.0000,0,,,,<0.5,0.0000,0,0.025,0.0250,0,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,2,101038,13,13.6000,8.1,8.1000,0,8.8,8.8000,0,,,,1.7,1.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,3,040955,11,1.0000,8.1,8.1000,0,10,10.0000,0,,,,2.8,2.8000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730010001,2730010,27,601,01,2013,2014,3,040955,13,13.0000,8.1,8.1000,0,8.9,8.9000,0,,,,1.7,1.7000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,5,071208,13,9.7000,8.1,8.1000,0,7,7.0000,0,,,,1.9,1.9000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,3,041021,13,10.2000,8.1,8.1000,0,8.9,8.9000,0,,,,1.7,1.7000,0,5,5.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,4,161045,13,10.0000,8.3,8.3000,0,9.3,9.3000,0,,,,2.4,2.4000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,4,161045,11,1.0000,8.3,8.3000,0,9.4,9.4000,0,,,,2.7,2.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,5,071208,13,10.7000,,,,6.9,6.9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,6,041102,11,1.0000,8.8,8.8000,1,14,14.0000,0,,,,8.2,8.2000,1,8,8.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,6,041102,13,9.3000,8.2,8.2000,0,5.9,5.9000,0,,,,3.2,3.2000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,6,041102,13,10.3000,,,,4.8,4.8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,7,021312,11,1.0000,8.4,8.4000,1,12,12.0000,0,,,,5.3,5.3000,0,5,5.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,7,021312,13,10.3000,7.9,7.9000,0,3.3,3.3000,0,,,,2.1,2.1000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,7,021312,13,11.3000,,,,3.1,3.1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,8,011331,11,1.0000,8.6,8.6000,1,14,14.0000,0,,,,6.3,6.3000,0,5,5.0000,0,,,,<0.5,0.0000,0,0.003,0.0030,0,,,,,,,<0.00006,0.0000,0,,,
2730020001,2730020,27,601,02,2013,2013,8,011331,13,10.1000,7.9,7.9000,0,2.3,2.3000,0,,,,1.9,1.9000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,8,011331,13,11.1000,,,,2.3,2.3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,9,101056,11,1.0000,8.5,8.5000,1,14,14.0000,0,,,,6.7,6.7000,0,5,5.0000,0,,,,,,,,,,,,,<0.0006,0.0000,0,,,,,,
2730020001,2730020,27,601,02,2013,2013,9,101056,13,10.3000,8.2,8.2000,0,4.8,4.8000,0,,,,3.3,3.3000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,9,101056,13,11.3000,,,,4.9,4.9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,10,011331,11,1.0000,8.5,8.5000,1,11,11.0000,0,,,,4.5,4.5000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,10,011331,13,10.2000,8.1,8.1000,0,3.7,3.7000,0,,,,2.7,2.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,10,011331,13,11.2000,,,,3.3,3.3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,11,061157,11,1.0000,8.0,8.0000,0,6.1,6.1000,0,,,,2.1,2.1000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,11,061157,13,10.4000,8.0,8.0000,0,5.3,5.3000,0,,,,2,2.0000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,12,091106,11,1.0000,8.2,8.2000,0,9.9,9.9000,0,,,,3.1,3.1000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,12,091106,13,10.8000,8.1,8.1000,0,9,9.0000,0,,,,2.2,2.2000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,1,141242,11,1.0000,8.1,8.1000,0,9.9,9.9000,0,,,,2.6,2.6000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,1,141242,13,10.3000,8.1,8.1000,0,9.1,9.1000,0,,,,2.2,2.2000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,2,101245,11,1.0000,8.1,8.1000,0,9.1,9.1000,0,,,,1.7,1.7000,0,2,2.0000,0,,,,<0.5,0.0000,0,0.013,0.0130,0,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,2,101245,13,10.8000,8.1,8.1000,0,9,9.0000,0,,,,1.6,1.6000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2014,3,041021,11,1.0000,8.2,8.2000,0,10,10.0000,0,,,,2.6,2.6000,0,8,8.0000,0,,,,,,,,,,,,,,,,,,,,,
2730020001,2730020,27,601,02,2013,2013,5,071208,11,1.0000,8.2,8.2000,0,8.7,8.7000,0,,,,3.5,3.5000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,6,041148,13,12.5000,,,,3.6,3.6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,6,041148,13,11.5000,8.1,8.1000,0,5,5.0000,0,,,,2.4,2.4000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,3,041105,13,12.5000,8.1,8.1000,0,9.5,9.5000,0,,,,1.7,1.7000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,3,041105,11,1.0000,8.2,8.2000,0,9.9,9.9000,0,,,,2,2.0000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,2,101207,13,13.2000,8.1,8.1000,0,8.8,8.8000,0,,,,1.4,1.4000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,2,101207,11,1.0000,8.2,8.2000,0,9.8,9.8000,0,,,,2.1,2.1000,0,2,2.0000,0,,,,<0.5,0.0000,0,0.008,0.0080,0,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,1,141339,13,12.8000,8.1,8.1000,0,8.7,8.7000,0,,,,2.1,2.1000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2014,1,141339,11,1.0000,8.3,8.3000,0,12,12.0000,0,,,,3,3.0000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,12,091151,13,13.0000,8.1,8.1000,0,6.5,6.5000,0,,,,2,2.0000,0,5,5.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,12,091151,11,1.0000,8.2,8.2000,0,8.5,8.5000,0,,,,2.4,2.4000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,11,061240,13,12.8000,8.0,8.0000,0,5.6,5.6000,0,,,,2.1,2.1000,0,5,5.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,11,061240,11,1.0000,8.1,8.1000,0,6.1,6.1000,0,,,,1.9,1.9000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,10,011430,13,14.2000,,,,2.5,2.5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,10,011430,13,13.2000,7.9,7.9000,0,2.5,2.5000,0,,,,2.1,2.1000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,10,011430,11,1.0000,8.4,8.4000,1,10,10.0000,0,,,,4,4.0000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,9,101150,13,14.2000,,,,3.4,3.4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,9,101150,13,13.2000,8.0,8.0000,0,3.8,3.8000,0,,,,1.7,1.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,9,101150,11,1.0000,8.4,8.4000,1,11,11.0000,0,,,,4.3,4.3000,0,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,8,011015,13,13.2000,,,,2.4,2.4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,8,011015,13,12.2000,8.2,8.2000,0,2.6,2.6000,0,,,,2.6,2.6000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,8,011015,11,1.0000,8.5,8.5000,1,9.6,9.6000,0,,,,4,4.0000,0,2,2.0000,0,,,,<0.5,0.0000,0,0.007,0.0070,0,,,,,,,<0.00006,0.0000,0,,,
2730030001,2730030,27,601,03,2013,2013,7,021439,13,14.0000,,,,3,3.0000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,7,021439,13,13.0000,7.9,7.9000,0,3,3.0000,0,,,,2.4,2.4000,0,11,11.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,7,021439,11,1.0000,8.0,8.0000,0,9.1,9.1000,0,,,,3.3,3.3000,0,1,1.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,6,041148,11,1.0000,8.5,8.5000,1,11,11.0000,0,,,,3.7,3.7000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,5,071325,13,13.0000,,,,5.9,5.9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,5,071325,13,12.0000,8.0,8.0000,0,6.1,6.1000,0,,,,2.3,2.3000,0,4,4.0000,0,,,,,,,,,,,,,,,,,,,,,
2730030001,2730030,27,601,03,2013,2013,5,071325,11,1.0000,8.3,8.3000,0,10,10.0000,0,,,,3.3,3.3000,0,2,2.0000,0,,,,,,,,,,,,,,,,,,,,,
