RECORDID,ZETTAICODE,PREFCODE,SUIIKICODE,CHITENCODE,NENDO,FISCALYEAR,MONTH,DAYTIME,DEPTH,DEPTH2,TN,TN2,TN3,TP,TP2,TP3
2730130023,2730130,27,602,01,2002,2003,3,111051,11,1.0000,0.57,0.5700,0,0.042,0.0420,0
2730130024,2730130,27,602,01,2002,2003,3,111051,13,10.0000,0.35,0.3500,0,0.035,0.0350,0
2730140001,2730140,27,602,02,2002,2002,4,241134,11,1.0000,0.58,0.5800,0,0.045,0.0450,0
2730140002,2730140,27,602,02,2002,2002,4,241134,13,10.0000,0.4,0.4000,0,0.081,0.0810,1
2730140003,2730140,27,602,02,2002,2002,5,211245,11,1.0000,0.53,0.5300,0,0.044,0.0440,0
2730140004,2730140,27,602,02,2002,2002,5,211245,13,10.0000,0.3,0.3000,0,0.032,0.0320,0
2730140005,2730140,27,602,02,2002,2002,6,041129,11,1.0000,0.62,0.6200,1,0.046,0.0460,0
2730140006,2730140,27,602,02,2002,2002,6,041129,13,10.0000,0.37,0.3700,0,0.029,0.0290,0
2730140007,2730140,27,602,02,2002,2002,7,181346,11,1.0000,0.71,0.7100,1,0.052,0.0520,1
2730140008,2730140,27,602,02,2002,2002,7,181346,13,10.0000,0.32,0.3200,0,0.027,0.0270,0
2730140009,2730140,27,602,02,2002,2002,8,061002,11,1.0000,0.69,0.6900,1,0.07,0.0700,1
2730140010,2730140,27,602,02,2002,2002,8,061002,13,10.0000,0.51,0.5100,0,0.081,0.0810,1
2730140011,2730140,27,602,02,2002,2002,9,030940,11,1.0000,0.35,0.3500,0,0.035,0.0350,0
2730140012,2730140,27,602,02,2002,2002,9,030940,13,10.0000,0.56,0.5600,0,0.072,0.0720,1
2730140013,2730140,27,602,02,2002,2002,10,160913,11,1.0000,0.4,0.4000,0,0.032,0.0320,0
2730140014,2730140,27,602,02,2002,2002,10,160913,13,10.0000,0.48,0.4800,0,0.036,0.0360,0
2730150004,2730150,27,602,03,2002,2002,5,211325,13,10.0000,0.38,0.3800,0,0.054,0.0540,1
2730150005,2730150,27,602,03,2002,2002,6,040855,11,1.0000,0.43,0.4300,0,0.036,0.0360,0
2730150006,2730150,27,602,03,2002,2002,6,040855,13,10.0000,0.51,0.5100,0,0.026,0.0260,0
2730150007,2730150,27,602,03,2002,2002,7,181432,11,1.0000,0.52,0.5200,0,0.041,0.0410,0
2730150008,2730150,27,602,03,2002,2002,7,181432,13,10.0000,0.32,0.3200,0,0.023,0.0230,0
2730150009,2730150,27,602,03,2002,2002,8,061433,11,1.0000,0.31,0.3100,0,0.044,0.0440,0
2730150010,2730150,27,602,03,2002,2002,8,061433,13,10.0000,0.35,0.3500,0,0.032,0.0320,0
2730150011,2730150,27,602,03,2002,2002,9,031225,11,1.0000,0.38,0.3800,0,0.045,0.0450,0
2730150012,2730150,27,602,03,2002,2002,9,031225,13,10.0000,0.33,0.3300,0,0.054,0.0540,1
2730150013,2730150,27,602,03,2002,2002,10,161253,11,1.0000,0.39,0.3900,0,0.026,0.0260,0
2730150014,2730150,27,602,03,2002,2002,10,161253,13,10.0000,0.37,0.3700,0,0.032,0.0320,0
2730150015,2730150,27,602,03,2002,2002,11,120845,11,1.0000,0.42,0.4200,0,0.038,0.0380,0
2730150016,2730150,27,602,03,2002,2002,11,120845,13,10.0000,0.39,0.3900,0,0.037,0.0370,0
2730150017,2730150,27,602,03,2002,2002,12,181120,11,1.0000,0.49,0.4900,0,0.041,0.0410,0
2730150018,2730150,27,602,03,2002,2002,12,181120,13,10.0000,0.38,0.3800,0,0.035,0.0350,0
2730150019,2730150,27,602,03,2002,2003,1,161339,11,1.0000,0.41,0.4100,0,0.031,0.0310,0
2730150020,2730150,27,602,03,2002,2003,1,161339,13,10.0000,0.39,0.3900,0,0.036,0.0360,0
2730150021,2730150,27,602,03,2002,2003,2,131441,11,1.0000,0.43,0.4300,0,0.037,0.0370,0
2730150022,2730150,27,602,03,2002,2003,2,131441,13,10.0000,0.26,0.2600,0,0.033,0.0330,0
2730150023,2730150,27,602,03,2002,2003,3,111143,11,1.0000,0.35,0.3500,0,0.031,0.0310,0
2730150024,2730150,27,602,03,2002,2003,3,111143,13,10.0000,0.29,0.2900,0,0.028,0.0280,0
2730160001,2730160,27,603,01,2002,2002,4,240933,11,1.0000,0.53,0.5300,0,0.031,0.0310,0
2730160002,2730160,27,603,01,2002,2002,4,240933,13,10.0000,0.32,0.3200,0,0.025,0.0250,0
2730130014,2730130,27,602,01,2002,2002,10,161134,13,10.0000,0.48,0.4800,0,0.045,0.0450,0
2730130015,2730130,27,602,01,2002,2002,11,121304,11,1.0000,0.65,0.6500,1,0.054,0.0540,1
2730130016,2730130,27,602,01,2002,2002,11,121304,13,10.0000,0.49,0.4900,0,0.04,0.0400,0
2730130017,2730130,27,602,01,2002,2002,12,181029,11,1.0000,0.94,0.9400,1,0.051,0.0510,1
2730130018,2730130,27,602,01,2002,2002,12,181029,13,10.0000,0.42,0.4200,0,0.049,0.0490,0
2730130019,2730130,27,602,01,2002,2003,1,161146,11,1.0000,0.62,0.6200,1,0.045,0.0450,0
2730130020,2730130,27,602,01,2002,2003,1,161146,13,10.0000,0.38,0.3800,0,0.034,0.0340,0
2730130021,2730130,27,602,01,2002,2003,2,131055,11,1.0000,0.54,0.5400,0,0.047,0.0470,0
2730130022,2730130,27,602,01,2002,2003,2,131055,13,10.0000,0.27,0.2700,0,0.041,0.0410,0
2730140015,2730140,27,602,02,2002,2002,11,120912,11,1.0000,0.59,0.5900,0,0.044,0.0440,0
2730140016,2730140,27,602,02,2002,2002,11,120912,13,10.0000,0.44,0.4400,0,0.032,0.0320,0
2730140017,2730140,27,602,02,2002,2002,12,180911,11,1.0000,0.65,0.6500,1,0.048,0.0480,0
2730140018,2730140,27,602,02,2002,2002,12,180911,13,10.0000,0.55,0.5500,0,0.04,0.0400,0
2730140019,2730140,27,602,02,2002,2003,1,160916,11,1.0000,0.55,0.5500,0,0.04,0.0400,0
2730140020,2730140,27,602,02,2002,2003,1,160916,13,10.0000,0.38,0.3800,0,0.038,0.0380,0
2730140021,2730140,27,602,02,2002,2003,2,130956,11,1.0000,0.39,0.3900,0,0.042,0.0420,0
2730140022,2730140,27,602,02,2002,2003,2,130956,13,10.0000,0.26,0.2600,0,0.038,0.0380,0
2730140023,2730140,27,602,02,2002,2003,3,110932,11,1.0000,0.55,0.5500,0,0.037,0.0370,0
2730140024,2730140,27,602,02,2002,2003,3,110932,13,10.0000,0.32,0.3200,0,0.027,0.0270,0
2730150001,2730150,27,602,03,2002,2002,4,240855,11,1.0000,0.41,0.4100,0,0.07,0.0700,1
2730150002,2730150,27,602,03,2002,2002,4,240855,13,10.0000,0.32,0.3200,0,0.066,0.0660,1
2730150003,2730150,27,602,03,2002,2002,5,211325,11,1.0000,0.58,0.5800,0,0.042,0.0420,0
2730230011,2730230,27,607,01,2002,2003,2,131212,11,1.0000,0.28,0.2800,,0.018,0.0180,
2730240002,2730240,27,608,01,2002,2002,5,211316,11,1.0000,0.29,0.2900,,0.025,0.0250,
2730240005,2730240,27,608,01,2002,2002,8,061003,11,1.0000,0.26,0.2600,,0.028,0.0280,
2730240008,2730240,27,608,01,2002,2002,11,121145,11,1.0000,0.29,0.2900,,0.033,0.0330,
2730240011,2730240,27,608,01,2002,2003,2,131142,11,1.0000,0.22,0.2200,,0.023,0.0230,
2730250001,2730250,27,601,71,2002,2002,5,210942,11,1.0000,2,2.0000,,0.047,0.0470,
2730250002,2730250,27,601,71,2002,2002,5,210942,13,10.0000,1.2,1.2000,,0.031,0.0310,
2730210004,2730210,27,605,02,2002,2002,5,211250,13,10.0000,0.23,0.2300,0,0.017,0.0170,0
2730210005,2730210,27,605,02,2002,2002,6,041024,11,1.0000,0.27,0.2700,0,0.016,0.0160,0
2730210006,2730210,27,605,02,2002,2002,6,041024,13,10.0000,0.2,0.2000,0,0.019,0.0190,0
2730210007,2730210,27,605,02,2002,2002,7,181259,11,1.0000,0.24,0.2400,0,0.015,0.0150,0
2730210008,2730210,27,605,02,2002,2002,7,181259,13,10.0000,0.28,0.2800,0,0.017,0.0170,0
2730210009,2730210,27,605,02,2002,2002,8,061029,11,1.0000,0.29,0.2900,0,0.03,0.0300,0
2730210010,2730210,27,605,02,2002,2002,8,061029,13,10.0000,0.24,0.2400,0,0.023,0.0230,0
2730210011,2730210,27,605,02,2002,2002,9,031009,11,1.0000,0.28,0.2800,0,0.025,0.0250,0
2730210012,2730210,27,605,02,2002,2002,9,031009,13,10.0000,0.23,0.2300,0,0.032,0.0320,1
2730210013,2730210,27,605,02,2002,2002,10,161222,11,1.0000,0.36,0.3600,1,0.033,0.0330,1
2730210014,2730210,27,605,02,2002,2002,10,161222,13,10.0000,0.3,0.3000,0,0.023,0.0230,0
2730210015,2730210,27,605,02,2002,2002,11,121122,11,1.0000,0.28,0.2800,0,0.03,0.0300,0
2730210016,2730210,27,605,02,2002,2002,11,121122,13,10.0000,0.27,0.2700,0,0.027,0.0270,0
2730210017,2730210,27,605,02,2002,2002,12,181022,11,1.0000,0.38,0.3800,1,0.03,0.0300,0
2730210018,2730210,27,605,02,2002,2002,12,181022,13,10.0000,0.33,0.3300,1,0.03,0.0300,0
2730210019,2730210,27,605,02,2002,2003,1,161243,11,1.0000,0.31,0.3100,1,0.021,0.0210,0
2730210020,2730210,27,605,02,2002,2003,1,161243,13,10.0000,0.29,0.2900,0,0.023,0.0230,0
2730210021,2730210,27,605,02,2002,2003,2,131013,11,1.0000,0.28,0.2800,0,0.024,0.0240,0
2730210022,2730210,27,605,02,2002,2003,2,131013,13,10.0000,0.26,0.2600,0,0.023,0.0230,0
2730210023,2730210,27,605,02,2002,2003,3,111037,11,1.0000,0.33,0.3300,1,0.026,0.0260,0
2730210024,2730210,27,605,02,2002,2003,3,111037,13,10.0000,0.25,0.2500,0,0.027,0.0270,0
2730220002,2730220,27,606,01,2002,2002,5,211440,11,1.0000,0.41,0.4100,,0.042,0.0420,
2730220005,2730220,27,606,01,2002,2002,8,060858,11,1.0000,0.62,0.6200,,0.067,0.0670,
2730220008,2730220,27,606,01,2002,2002,11,121253,11,1.0000,0.38,0.3800,,0.048,0.0480,
2730220011,2730220,27,606,01,2002,2003,2,131331,11,1.0000,0.35,0.3500,,0.055,0.0550,
2730230002,2730230,27,607,01,2002,2002,5,211339,11,1.0000,0.21,0.2100,,0.021,0.0210,
2730230005,2730230,27,607,01,2002,2002,8,060931,11,1.0000,0.37,0.3700,,0.036,0.0360,
2730230008,2730230,27,607,01,2002,2002,11,121209,11,1.0000,0.27,0.2700,,0.029,0.0290,
2730250003,2730250,27,601,71,2002,2002,8,061014,11,1.0000,1.8,1.8000,,0.17,0.1700,
2730250004,2730250,27,601,71,2002,2002,8,061014,13,10.0000,0.83,0.8300,,0.19,0.1900,
2730250005,2730250,27,601,71,2002,2002,11,121002,11,1.0000,0.57,0.5700,,0.065,0.0650,
2730250006,2730250,27,601,71,2002,2002,11,121002,13,10.0000,0.6,0.6000,,0.064,0.0640,
2730250007,2730250,27,601,71,2002,2003,2,130949,11,1.0000,1.7,1.7000,,0.13,0.1300,
2730250008,2730250,27,601,71,2002,2003,2,130949,13,10.0000,0.73,0.7300,,0.044,0.0440,
2730130004,2730130,27,602,01,2002,2002,5,211033,13,10.0000,0.43,0.4300,0,0.046,0.0460,0
2730130005,2730130,27,602,01,2002,2002,6,041004,11,1.0000,0.94,0.9400,1,0.057,0.0570,1
